번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부
479,숙박업,03_11_03_P,3280000,3280000-201-1966-00585,1966-11-12,,1,영업/정상,1,영업,,,,,051 412 1020,46.2,606-800,부산광역시 영도구 남항동1가 65,부산광역시 영도구 남항로 11-6 (남항동1가),49045,동명장 모텔,2021-03-09 10:36,U,2021-03-11 2:40,여인숙업,385789.5021,178656.6208,여인숙업,0,0,0,0,0,0,13,0,,,,,,,N
480,숙박업,03_11_03_P,3280000,3280000-201-1988-00680,1988-04-07,,1,영업/정상,1,영업,,,,,051 405 2500,189.93,606-804,부산광역시 영도구 동삼동 948-1번지,부산광역시 영도구 아랫서발길 5 (동삼동),49126,G2 모텔,2020-04-07 15:38,U,2020-04-09 2:40,여관업,389754.7312,176081.073,여관업,0,0,0,0,0,0,0,21,,,,,,,N
481,숙박업,03_11_03_P,3280000,3280000-201-1974-00636,1974-07-31,,1,영업/정상,1,영업,,,,,051 4120074,33,606-822,부산광역시 영도구 청학동 297-17번지,부산광역시 영도구 태종로310번길 13 (청학동),49023,대영,2017-11-24 9:53,I,2018-08-31 23:59,여관업,387767.3091,179453.7535,여관업,0,0,0,0,0,0,0,7,,,,,,,N
482,숙박업,03_11_03_P,3280000,3280000-201-1973-00635,1973-01-12,,1,영업/정상,1,영업,,,,,051 414 8319,88.12,606-011,부산광역시 영도구 대교동1가 85-2번지,부산광역시 영도구 태종로50번길 45 (대교동1가),49042,남일여인숙,2019-08-07 18:01,U,2019-08-09 2:40,여인숙업,385765.6274,178946.5981,여인숙업,0,0,0,0,0,0,13,0,,,,,,,N
483,숙박업,03_11_03_P,3280000,3280000-201-2003-00006,2003-10-13,,1,영업/정상,1,영업,,,,,051 416 8855,1072.23,606-012,부산광역시 영도구 대교동2가 32-3,부산광역시 영도구 절영로19번길 37 (대교동2가),49036,브라운도트 영도대교점,2023-02-22 13:22,U,2023-02-24 2:40,일반호텔,386136.7087,178896.394,일반호텔,8,0,1,7,0,0,1,24,,,,임대,0,0,N
484,숙박업,03_11_03_P,3280000,3280000-201-1990-00713,1990-04-10,,1,영업/정상,1,영업,,,,,051 4137011,408.01,606-012,부산광역시 영도구 대교동2가 153-6,부산광역시 영도구 남항로19번길 45 (대교동2가),49052,씨네모텔,2022-08-09 17:33,U,2022-08-11 2:40,여관업,385936.7718,178829.5993,여관업,0,0,0,0,0,0,0,15,,,,,0,0,N
485,숙박업,03_11_03_P,3280000,3280000-201-2023-00001,2023-05-23,,1,영업/정상,1,영업,,,,,,55.05,606-011,부산광역시 영도구 대교동1가 112,"부산광역시 영도구 절영로36번길 2, 3층 (대교동1가)",49045,경호펜션,2023-12-22 17:11,U,2023-12-24 2:40,여관업,385877.5803,178837.0615,여관업,5,1,3,3,0,0,1,0,,,,,0,0,N
486,숙박업,03_11_03_P,3280000,3280000-214-2024-00001,2024-05-20,,1,영업/정상,1,영업,,,,,,253.58,606-820,부산광역시 영도구 청학동 475-18,부산광역시 영도구 와치로 54 (청학동),49086,벨리타,2024-05-22 12:55,U,2024-05-25 2:40,숙박업(생활),387846.2568,178497.5476,숙박업(생활),0,0,2,4,1,1,0,3,,,,,0,0,N
487,숙박업,03_11_03_P,3280000,3280000-201-2021-00005,2021-10-15,,1,영업/정상,1,영업,,,,,051 418 8888,4845.99,606-011,부산광역시 영도구 대교동1가 40,부산광역시 영도구 태종로 45 (대교동1가),49037,호텔아델라1,2024-10-08 16:50,U,2024-10-10 2:40,일반호텔,385710.11,179091.8213,일반호텔,0,0,3,23,0,0,0,51,,,,,0,0,N
488,숙박업,03_11_03_P,3280000,3280000-201-2021-00002,2021-09-07,,1,영업/정상,1,영업,,,,,051 414 1300,4447.65,606-822,부산광역시 영도구 청학동 321-12,부산광역시 영도구 해양로 38 (청학동),49000,그랜드베른호텔,2023-08-02 10:34,U,2023-08-05 2:40,관광호텔,387723.126,179582.5856,관광호텔,10,1,0,0,0,0,0,60,,,,,0,0,N
489,숙박업,03_11_03_P,3280000,3280000-201-2021-00004,2021-09-14,,1,영업/정상,1,영업,,,,,051 415 5528,6920.5,606-011,부산광역시 영도구 대교동1가 40 밸류호텔부산,부산광역시 영도구 태종로 45 (대교동1가),49037,호텔아델라,2024-10-31 17:51,U,2024-11-02 2:40,일반호텔,385710.11,179091.8213,일반호텔,0,0,3,23,0,0,0,134,,,,,0,0,N
490,숙박업,03_11_03_P,3280000,3280000-214-2025-00002,2025-08-22,,1,영업/정상,1,영업,,,,,,22.44,606-812,부산광역시 영도구 봉래동5가 146-14 2층,"부산광역시 영도구 하나길 713, 2층 (봉래동5가)",49027,180스테이(180STAY),2025-08-22 10:45,I,2025-08-24 0:20,숙박업(생활),387032.1455,179069.7849,숙박업(생활),1,2,2,2,0,0,0,1,,,,,1,0,N
491,숙박업,03_11_03_P,3280000,3280000-201-2021-00001,2021-05-27,,1,영업/정상,1,영업,,,,,051 414 3333,6787.62,606-011,부산광역시 영도구 대교동1가 40,부산광역시 영도구 태종로 45 (대교동1가),49037,노스하버호텔부산,2025-06-17 14:40,U,2025-06-19 2:40,일반호텔,385710.11,179091.8213,일반호텔,0,0,3,23,0,0,0,135,,,,,0,0,N
492,숙박업,03_11_03_P,3280000,3280000-214-2025-00001,2025-07-03,,1,영업/정상,1,영업,,,,,,1584.98,606-080,부산광역시 영도구 동삼동 1180,부산광역시 영도구 동삼오션로 58 (동삼동),49128,부산호텔그라체(영도점),2025-10-13 11:05,U,2025-10-15 2:40,숙박업(생활),389962.5748,176440.3955,숙박업(생활),0,0,0,0,0,0,0,43,,,,,0,0,N
493,숙박업,03_11_03_P,3280000,3280000-214-2022-00001,2022-06-21,,1,영업/정상,1,영업,,,,,051 710 6220,1657.57,606-080,부산광역시 영도구 동삼동 1175,부산광역시 영도구 동삼오션로 58 (동삼동),49128,시프트도어 하리 레지던스,2025-10-13 11:02,U,2025-10-15 2:40,숙박업(생활),389962.5748,176440.3955,숙박업(생활),0,0,3,12,0,0,0,44,,,,,0,0,N
494,숙박업,03_11_03_P,3280000,3280000-201-2022-00002,2022-06-21,,1,영업/정상,1,영업,,,,,051 710 6220,4044.58,606-080,부산광역시 영도구 동삼동 1175,부산광역시 영도구 동삼오션로 58 (동삼동),49128,시타딘커넥트호텔 하리 부산,2025-09-26 11:44,U,2025-09-28 2:40,일반호텔,389962.5748,176440.3955,일반호텔,0,0,13,19,0,0,0,103,,,,,0,0,N
495,숙박업,03_11_03_P,3280000,3280000-201-2022-00001,2022-05-18,,1,영업/정상,1,영업,,,,,051 412 3538,388.45,606-800,부산광역시 영도구 남항동1가 13-2,부산광역시 영도구 남항서로 115 (남항동1가),49042,디자이너스 스테이 부산,2025-11-24 14:17,U,2025-11-26 2:40,일반호텔,385677.1037,178745.8362,일반호텔,0,0,2,5,0,0,0,16,,,,,0,0,N
496,숙박업,03_11_03_P,3280000,3280000-214-2023-00001,2023-11-23,,1,영업/정상,1,영업,,,,,,1431.27,606-080,부산광역시 영도구 동삼동 1180,부산광역시 영도구 동삼오션로 58 (동삼동),49128,영도 엘스테이,2024-11-20 10:53,U,2024-11-22 2:40,숙박업(생활),389962.5748,176440.3955,숙박업(생활),0,0,3,12,0,0,0,39,,,,,0,0,N
497,숙박업,03_11_03_P,3290000,3290000-201-2019-00001,2019-01-31,,1,영업/정상,1,영업,,,,,,487.23,614-844,부산광역시 부산진구 부전동 142-4,"부산광역시 부산진구 동천로107번길 17, 3층~5층 (부전동)",47246,창명 하우스,2023-07-27 13:45,U,2023-07-29 2:40,여관업,387744.511,186274.812,여관업,5,1,3,5,0,0,0,32,,,,,0,0,N
498,숙박업,03_11_03_P,3290000,3290000-201-2023-00002,2023-04-25,,1,영업/정상,1,영업,,,,,051808 2228,2056.89,614-872,부산광역시 부산진구 초읍동 291-10,"부산광역시 부산진구 성지로153번길 8, 지하1~8층 (초읍동)",47124,카라트호텔,2025-06-05 11:31,U,2025-06-08 2:40,관광호텔,386457.0865,188834.4405,관광호텔,8,1,8,1,1,1,0,47,,,,,0,0,N
499,숙박업,03_11_03_P,3290000,3290000-214-2023-00004,2023-09-11,,1,영업/정상,1,영업,,,,,,2358.53,614-844,부산광역시 부산진구 부전동 129-1 서면역 트루엘 센트럴,"부산광역시 부산진구 중앙대로 752, 서면역 트루엘 센트럴 2~20층 일부호 (부전동)",47245,젬스테이,2025-11-17 11:29,U,2025-11-19 2:40,숙박업(생활),387712.3938,186405.081,숙박업(생활),20,2,2,20,0,0,0,134,,,,임대,0,0,N
500,숙박업,03_11_03_P,3290000,3290000-201-2019-00002,2019-07-05,,1,영업/정상,1,영업,,,,,051 803 6996,966.56,614-846,부산광역시 부산진구 부전동 226-5,"부산광역시 부산진구 신천대로50번길 34, 6층~9층 (부전동)",47296,엑스모텔,2022-09-23 14:20,U,2022-09-25 2:40,일반호텔,387652.1477,185627.0752,일반호텔,10,2,6,9,0,0,0,29,,,,,0,0,N
501,숙박업,03_11_03_P,3290000,3290000-214-2022-00001,2022-04-12,,1,영업/정상,1,영업,,,,,,155.18,614-876,부산광역시 부산진구 부전동 474-2 MJ빌딩,"부산광역시 부산진구 서면문화로 23, MJ빌딩 13층 (부전동)",47257,"아이,집",2024-04-29 15:38,U,2024-05-01 2:40,숙박업(생활),387276.5237,186391.7154,숙박업(생활),13,1,13,13,0,0,0,1,,,,,0,0,N
502,숙박업,03_11_03_P,3290000,3290000-214-2024-00004,2024-10-24,,1,영업/정상,1,영업,,,,,,838.39,614-827,부산광역시 부산진구 범천동 841-304,"부산광역시 부산진구 범일로142번길 53-10, 1층,11~14층 (범천동)",47363,(주)빌드원호스텔,2025-05-12 15:16,U,2025-05-14 2:40,숙박업(생활),387878.8614,184625.7468,숙박업(생활),14,1,11,14,0,0,0,20,,,,,0,0,N
503,숙박업,03_11_03_P,3290000,3290000-214-2024-00003,2024-09-12,,1,영업/정상,1,영업,,,,,,52.72,614-849,부산광역시 부산진구 부전동 423-4,"부산광역시 부산진구 부전로95번길 40, 10층 1001,1002호 (부전동)",47258,선셋스테이 2호점,2025-05-20 17:52,U,2025-05-22 2:40,숙박업(생활),386980.8376,186334.1422,숙박업(생활),0,0,10,0,0,0,0,2,,,,,0,0,N
504,숙박업,03_11_03_P,3290000,3290000-201-1999-02030,1999-02-08,,1,영업/정상,1,영업,,,,,051 8069019,280.1,614-847,부산광역시 부산진구 부전동 515-10,부산광역시 부산진구 중앙대로691번가길 13-1 (부전동),47287,스테이한담,2024-12-31 14:42,U,2025-01-03 2:40,여관업,387233.2454,185897.6358,여관업,3,1,3,0,0,0,0,15,,,,,0,0,N
505,숙박업,03_11_03_P,3290000,3290000-201-2015-00004,2015-11-06,,1,영업/정상,1,영업,,,,,051 819 8231,1892.35,614-850,부산광역시 부산진구 부전동 526-18 3~7층,"부산광역시 부산진구 부전로 33-1, 3~7층 (부전동)",47290,티알티호텔(TRT HOTEL),2021-05-24 17:58,U,2021-05-26 2:40,관광호텔,387262.2399,185719.9418,관광호텔,8,0,3,7,0,0,0,48,,,,,0,0,N
506,숙박업,03_11_03_P,3290000,3290000-201-1981-02454,1981-09-09,,1,영업/정상,1,영업,,,,,,179.94,614-850,부산광역시 부산진구 부전동 522-48,부산광역시 부산진구 부전로20번길 26 (부전동),47288,코지스테이(cozy stay),2024-05-21 15:00,U,2024-05-23 2:40,여관업,387366.5416,185712.1058,여관업,3,0,3,0,0,0,0,21,,,,,0,0,N
507,숙박업,03_11_03_P,3290000,3290000-201-1988-02318,1988-04-01,,1,영업/정상,1,영업,,,,,051 863 7707,189.02,614-856,부산광역시 부산진구 양정동 401-33,부산광역시 부산진구 거제대로 16-3 (양정동),,순우정모텔,2020-12-12 15:25,U,2020-12-15 2:40,여관업,388307.6307,187624.7191,여관업,4,0,4,0,0,0,0,17,,,,,,,N
508,숙박업,03_11_03_P,3290000,3290000-201-1985-02455,1985-11-23,,1,영업/정상,1,영업,,,,,051 819 8401,261.3,614-846,부산광역시 부산진구 부전동 217-4,부산광역시 부산진구 중앙대로680번가길 12-5 (부전동),47296,그랑호텔,2020-08-04 10:24,U,2020-08-06 2:40,여관업,387742.5075,185827.8836,여관업,5,0,5,0,0,0,0,26,,,,,,,N
509,숙박업,03_11_03_P,3290000,3290000-201-1974-02336,1974-07-16,,1,영업/정상,1,영업,,,,,051 509 8600,87.08,614-872,부산광역시 부산진구 초읍동 290-14,부산광역시 부산진구 성지로 147 (초읍동),47124,리베라여관,2021-02-08 11:08,U,2021-02-10 2:40,여관업,386528.0652,188826.9898,여관업,3,0,3,0,0,0,0,12,,,,,,,N
510,숙박업,03_11_03_P,3290000,3290000-201-1986-02425,1986-12-22,,1,영업/정상,1,영업,,,,,051 807 9913,86.09,614-842,부산광역시 부산진구 부전동 41-3,부산광역시 부산진구 범전로19번길 28 (부전동),47248,아주여관,2024-12-30 13:34,U,2025-01-01 2:40,여관업,387720.6715,186943.4239,여관업,3,0,3,0,0,0,0,10,,,,,0,0,N
511,숙박업,03_11_03_P,3290000,3290000-201-2004-00011,2004-09-14,,1,영업/정상,1,영업,,,,,051 809 7002,544,614-847,부산광역시 부산진구 부전동 516-6,부산광역시 부산진구 중앙대로691번가길 24-13 (부전동),47287,스카이모텔,2025-11-06 15:48,U,2025-11-08 2:40,여관업,387294.2857,185975.857,여관업,0,0,0,0,0,0,0,18,,,,,,,N
512,숙박업,03_11_03_P,3290000,3290000-201-1965-01566,1965-08-13,,1,영업/정상,1,영업,,,,,051 8164773,66.11,614-843,부산광역시 부산진구 부전동 346-3,부산광역시 부산진구 부전로 169-6 (부전동),47248,원진,2021-02-01 11:52,U,2021-02-03 2:40,여인숙업,387576.1764,186835.4759,여인숙업,1,0,1,0,0,0,0,13,,,,,,,N
513,숙박업,03_11_03_P,3290000,3290000-201-1980-02299,1980-01-17,,1,영업/정상,1,영업,,,,,051 646 3131,141.68,614-847,부산광역시 부산진구 부전동 519-38,부산광역시 부산진구 중앙대로691번가길 24-6 (부전동),47287,라임,2023-06-13 13:53,U,2023-06-15 2:40,여관업,387264.3651,185952.1295,여관업,4,1,1,4,0,0,0,16,,,,임대,0,0,N
514,숙박업,03_11_03_P,3290000,3290000-201-2010-00002,2010-07-19,,1,영업/정상,1,영업,,,,,051 636 3434,1791,614-828,부산광역시 부산진구 범천동 855-12,부산광역시 부산진구 황령대로8번길 8 (범천동),47354,프렌치코드호텔,2023-03-30 14:23,U,2023-04-01 2:40,여관업,387683.4586,185066.1227,여관업,8,0,1,8,0,0,0,40,,,,임대,,,N
515,숙박업,03_11_03_P,3290000,3290000-201-2014-00001,2014-01-16,,1,영업/정상,1,영업,,,,,051 804 0550,1128.6,614-876,부산광역시 부산진구 부전동 474-77,부산광역시 부산진구 서면문화로 29-8 (부전동),47257,숨모텔,2021-02-03 12:00,U,2021-02-05 2:40,여관업,387225.7468,186448.474,여관업,9,0,1,8,0,0,0,26,,,,,,,N
516,숙박업,03_11_03_P,3290000,3290000-201-1990-02311,1990-01-13,,1,영업/정상,1,영업,,,,,051 804 4743,192.92,614-872,부산광역시 부산진구 초읍동 290-18,부산광역시 부산진구 새싹로278번길 19 (초읍동),47124,쏠(SOL)모텔,2024-11-08 13:23,U,2024-11-10 2:40,여관업,386508.8227,188792.4296,여관업,5,0,5,0,0,0,0,19,,,,,0,0,N
517,숙박업,03_11_03_P,3290000,3290000-201-2000-02493,2000-10-18,,1,영업/정상,1,영업,,,,,051 8054910,1851.46,614-872,부산광역시 부산진구 초읍동 292-2,"부산광역시 부산진구 초읍천로 110, B동 (초읍동)",47104,아리바바여관,2021-02-08 11:11,U,2021-02-10 2:40,여관업,386363.317,188866.5193,여관업,0,0,0,0,0,0,0,35,,,,,,,N
518,숙박업,03_11_03_P,3290000,3290000-201-1988-02301,1988-05-18,,1,영업/정상,1,영업,,,,,051 8034766,85.2,614-836,부산광역시 부산진구 부암동 133-60,부산광역시 부산진구 신천대로 200 (부암동),47195,경일장여관,2021-02-04 16:48,U,2021-02-06 2:40,여관업,386769.9347,186419.7466,여관업,3,0,3,0,0,0,0,10,,,,,,,N
519,숙박업,03_11_03_P,3290000,3290000-201-1984-01807,1984-03-30,,1,영업/정상,1,영업,,,,,,241.86,614-850,부산광역시 부산진구 부전동 523-2,부산광역시 부산진구 부전로20번길 9 (부전동),47288,Y모텔,2025-11-05 14:45,U,2025-11-08 2:40,여관업,387354.2642,185632.2644,여관업,4,0,4,0,0,0,0,24,,,,,0,0,N
520,숙박업,03_11_03_P,3290000,3290000-201-2003-00024,2003-10-15,,1,영업/정상,1,영업,,,,,051 633 3451,1986.22,614-826,부산광역시 부산진구 범천동 839-11,부산광역시 부산진구 자유평화로3번길 56 (범천동),47366,호텔 큐파이브(HOTEL Q5),2022-06-23 16:23,U,2022-06-25 2:40,일반호텔,387926.0975,184536.7389,일반호텔,8,1,8,0,1,0,0,42,,,,,,,N
521,숙박업,03_11_03_P,3290000,3290000-201-1982-02296,1982-07-16,,1,영업/정상,1,영업,,,,,051 8964091,266.74,614-817,부산광역시 부산진구 당감동 305-12,부산광역시 부산진구 당감로50번길 9 (당감동),47144,서림,2022-11-28 13:49,U,2022-11-30 2:40,여관업,385740.3637,187130.0015,여관업,5,1,2,3,0,0,0,15,,,,,0,0,N
522,숙박업,03_11_03_P,3290000,3290000-201-1988-00028,1988-08-19,,1,영업/정상,1,영업,,,,,051 8038800,496.15,614-876,부산광역시 부산진구 부전동 474-8,부산광역시 부산진구 부전로96번길 23 (부전동),47257,라라비안코호텔 비즈니스,2022-10-07 14:35,U,2022-10-09 2:40,여관업,387261.9539,186338.2134,여관업,6,0,0,6,0,0,25,20,,,,,,,N
523,숙박업,03_11_03_P,3290000,3290000-201-2003-00025,2003-10-21,,1,영업/정상,1,영업,,,,,051 6347071,1641.68,614-827,부산광역시 부산진구 범천동 841-232,부산광역시 부산진구 자유평화로37번길 41 (범천동),47363,덴 바스타,2022-06-02 11:41,U,2022-06-04 2:40,여관업,387916.7418,184612.8987,여관업,8,1,7,0,1,0,4,38,,,,,,,N
524,숙박업,03_11_03_P,3290000,3290000-201-2014-00003,2014-07-29,,1,영업/정상,1,영업,,,,,051 816 7071,1805.02,614-845,부산광역시 부산진구 부전동 168-347번지 1~10층,"부산광역시 부산진구 동천로85번길 17, 1~10층 (부전동)",47292,하루호텔,2020-03-31 14:08,U,2020-04-02 2:40,일반호텔,387748.4495,186059.0437,일반호텔,10,1,1,10,0,0,0,41,,,,자가,,,N
525,숙박업,03_11_03_P,3290000,3290000-201-2015-00001,2015-02-04,,1,영업/정상,1,영업,,,,,051804 1801,1995.98,614-845,부산광역시 부산진구 부전동 168-348,부산광역시 부산진구 중앙대로680번가길 56-8 (부전동),47292,아리아호텔,2023-12-05 10:53,U,2023-12-07 2:40,일반호텔,387748.4862,186039.9737,일반호텔,10,0,1,10,0,0,0,44,,,,,0,0,N
526,숙박업,03_11_03_P,3290000,3290000-201-2015-00002,2015-03-10,,1,영업/정상,1,영업,,,,,051 808 0125,2602,614-847,부산광역시 부산진구 부전동 520-3 외 2필지,부산광역시 부산진구 중앙대로691번길 46 (부전동),47287,더클럽호텔,2020-12-23 16:45,U,2020-12-25 2:40,일반호텔,387314.6636,185900.0791,일반호텔,7,1,4,7,0,0,0,58,,,,,0,0,N
527,숙박업,03_11_03_P,3290000,3290000-201-1985-02451,1985-04-13,,1,영업/정상,1,영업,,,,,051 8070007,794,614-883,부산광역시 부산진구 당감동 983,부산광역시 부산진구 가야대로703번가길 6 (당감동),47261,고궁모텔,2024-11-04 14:34,U,2024-11-06 2:40,여관업,386610.6523,186172.6406,여관업,4,0,4,0,0,0,0,24,,,,,0,0,N
528,숙박업,03_11_03_P,3290000,3290000-201-1974-02328,1974-07-20,,1,영업/정상,1,영업,,,,,051 808 1450,106.36,614-843,부산광역시 부산진구 부전동 280-39 280동 39호,부산광역시 부산진구 부전로 169-24 (부전동),47248,도원장,2022-03-03 10:26,U,2022-03-05 2:40,여관업,387597.9105,186864.4324,여관업,0,0,0,0,0,0,0,17,,,,,,,N
529,숙박업,03_11_03_P,3290000,3290000-201-1990-02309,1990-10-27,,1,영업/정상,1,영업,,,,,051 8169002,254.9,614-849,부산광역시 부산진구 부전동 405-29,부산광역시 부산진구 서면문화로53번길 7-10 (부전동),47255,월렉스모텔,2023-06-30 9:30,U,2023-07-02 2:40,여관업,387133.9159,186605.7376,여관업,4,0,4,0,0,0,0,16,,,,,0,0,N
530,숙박업,03_11_03_P,3290000,3290000-201-1977-02426,1977-12-01,,1,영업/정상,1,영업,,,,,051 8087783,111.53,614-849,부산광역시 부산진구 부전동 402-2번지,부산광역시 부산진구 새싹로29번길 10-7 (부전동),47256,이화장,2020-01-07 13:30,U,2020-01-09 2:40,여관업,387292.5541,186526.5269,여관업,3,0,3,0,0,0,0,10,,,,,,,N
531,숙박업,03_11_03_P,3290000,3290000-201-1994-02306,1994-11-19,,1,영업/정상,1,영업,,,,,051 807 8353,374.64,614-883,부산광역시 부산진구 당감동 963,부산광역시 부산진구 가야대로703번가길 5 (당감동),47261,로컬페이지 부산서면점,2024-08-29 11:18,U,2024-08-31 2:40,여관업,386600.5902,186196.7527,여관업,5,0,5,0,0,0,0,18,,,,,0,0,N
532,숙박업,03_11_03_P,3290000,3290000-201-2004-00009,2004-07-05,,1,영업/정상,1,영업,,,,,051 8989941,1998.66,614-813,부산광역시 부산진구 개금동 177-57,부산광역시 부산진구 가야대로468번길 16 (개금동),47323,레인보우호텔,2020-11-26 15:54,U,2020-11-28 2:40,여관업,384280.3406,185557.3918,여관업,9,1,1,8,1,1,5,35,,,,자가,,,N
533,숙박업,03_11_03_P,3290000,3290000-201-1990-02305,1990-08-31,,1,영업/정상,1,영업,,,,,051 8176300,209.82,614-883,부산광역시 부산진구 당감동 964,부산광역시 부산진구 가야대로703번가길 3 (당감동),47261,센트모텔,2022-08-26 13:50,U,2022-08-28 2:40,여관업,386591.2961,186189.7389,여관업,4,0,4,0,0,0,0,21,,,,,,,N
534,숙박업,03_11_03_P,3290000,3290000-201-1981-00352,1981-12-31,,1,영업/정상,1,영업,,,,,051 802 2262,807.67,614-846,부산광역시 부산진구 부전동 223-2,부산광역시 부산진구 중앙대로692번길 46-7 (부전동),47296,엔젤,2024-08-09 11:23,U,2024-08-11 2:40,일반호텔,387812.3041,185818.5719,일반호텔,7,0,1,7,0,0,27,30,,,,,0,0,N
535,숙박업,03_11_03_P,3290000,3290000-201-2003-00017,2003-07-09,,1,영업/정상,1,영업,,,,,051 8921501,2334.96,614-813,부산광역시 부산진구 개금동 177-29,부산광역시 부산진구 가야대로468번길 15 (개금동),47323,호텔e패션,2020-12-12 14:45,U,2020-12-15 2:40,일반호텔,384317.8695,185560.2908,일반호텔,8,1,1,8,0,0,2,42,,,,자가,,,N
536,숙박업,03_11_03_P,3290000,3290000-201-1995-00373,1995-12-20,,1,영업/정상,1,영업,,,,,051 805 8222,357.72,614-843,부산광역시 부산진구 부전동 347-43,부산광역시 부산진구 중앙대로769번길 55 (부전동),47252,태화장,2024-10-14 15:56,U,2024-10-16 2:40,여관업,387549.2884,186758.6933,여관업,4,0,4,0,0,0,0,18,,,,,0,0,N
537,숙박업,03_11_03_P,3290000,3290000-201-1988-02304,1988-12-24,,1,영업/정상,1,영업,,,,,051 8976047,365.58,614-816,부산광역시 부산진구 당감동 878-4,"부산광역시 부산진구 신천대로 195, 3.4.5층 (당감동)",47261,부일장,2022-11-01 15:45,U,2022-11-03 2:40,여관업,386714.4467,186377.3668,여관업,5,1,3,5,0,0,0,15,,,,자가,0,0,N
538,숙박업,03_11_03_P,3290000,3290000-201-2003-00021,2003-08-23,,1,영업/정상,1,영업,,,,,051 805 2001,764.65,614-872,부산광역시 부산진구 초읍동 171-5,부산광역시 부산진구 월드컵대로474번길 23 (초읍동),47103,라라호텔,2025-05-14 13:35,U,2025-05-16 2:40,여관업,386474.2172,188921.6391,여관업,6,1,1,6,0,0,1,23,,,,자가,0,0,N
539,숙박업,03_11_03_P,3290000,3290000-201-2015-00003,2015-05-04,,1,영업/정상,1,영업,,,,,051 808 2000,7919.83,614-847,부산광역시 부산진구 부전동 512-4,부산광역시 부산진구 부전로 67 (부전동),47284,주식회사 부산비즈니스호텔,2020-12-23 17:47,U,2020-12-25 2:40,관광호텔,387138.1869,186037.5333,관광호텔,11,2,1,11,0,0,0,234,,,,,0,0,N
540,숙박업,03_11_03_P,3290000,3290000-201-1980-02297,1980-11-26,,1,영업/정상,1,영업,,,,,051 632 0072,274.34,614-828,부산광역시 부산진구 범천동 848-22,부산광역시 부산진구 황령대로8번길 60 (범천동),47357,편한스테이,2024-04-25 16:40,U,2024-04-27 2:40,여관업,387650.1175,184826.0168,여관업,5,0,5,0,0,0,0,25,,,,,,,N
541,숙박업,03_11_03_P,3290000,3290000-201-1993-00154,1993-08-02,,1,영업/정상,1,영업,,,,,051 807 8944,291.6,614-842,부산광역시 부산진구 부전동 392-7,부산광역시 부산진구 새싹로52번길 12-3 (부전동),47248,초원장,2022-10-12 15:29,U,2022-10-14 2:40,여관업,387303.5575,186713.1783,여관업,5,0,5,0,0,0,0,17,,,,,0,0,N
542,숙박업,03_11_03_P,3290000,3290000-201-1987-02304,1987-03-10,,1,영업/정상,1,영업,,,,,051 8198100,241.73,614-844,부산광역시 부산진구 부전동 351-18,부산광역시 부산진구 새싹로28번길 35 (부전동),47253,동진하이츠,2023-07-11 9:37,U,2023-07-13 2:40,여관업,387537.502,186560.4491,여관업,5,0,5,0,0,0,0,20,,,,,,,N
543,숙박업,03_11_03_P,3290000,3290000-201-1989-02306,1989-08-31,,1,영업/정상,1,영업,,,,,051 6443355,626.34,614-826,부산광역시 부산진구 범천동 839-416,부산광역시 부산진구 자유평화로37번길 15-12 (범천동),47366,대호모텔,2025-05-02 10:01,U,2025-05-04 2:40,여관업,387943.1423,184514.2167,여관업,5,0,1,5,0,0,0,22,,,,,0,0,N
544,숙박업,03_11_03_P,3290000,3290000-201-1985-02459,1985-11-07,,1,영업/정상,1,영업,,,,,,132.6,614-851,부산광역시 부산진구 양정동 106-17,부산광역시 부산진구 연수로 32 (양정동),47220,비전빌,2021-09-07 13:29,U,2021-09-09 2:40,여관업,388930.9127,188064.9479,여관업,4,0,4,0,0,0,0,14,,,,,,,N
545,숙박업,03_11_03_P,3290000,3290000-201-1981-02450,1981-05-22,,1,영업/정상,1,영업,,,,,051 8935293,96.48,614-814,부산광역시 부산진구 개금동 540-99,부산광역시 부산진구 복지로 51 (개금동),47386,허브모텔,2024-07-31 14:09,U,2024-08-02 2:40,여관업,384088.8609,185134.2837,여관업,2,0,2,0,0,0,0,13,,,,,0,0,N
546,숙박업,03_11_03_P,3290000,3290000-201-1987-02303,1987-09-07,,1,영업/정상,1,영업,,,,,051 807 7429,47.63,614-843,부산광역시 부산진구 부전동 267-28번지,부산광역시 부산진구 새싹로8번길 52 (부전동),47251,삼화,2020-03-26 11:25,U,2020-03-28 2:40,여관업,387668.5772,186524.1906,여관업,3,0,3,0,0,0,0,11,,,,,,,N
